epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
28,0.129067,0.021439,0.995370,0.995726,0.995370,0.995362
29,0.054213,0.028015,0.990741,0.991453,0.990741,0.990505
30,0.008102,0.038849,0.986111,0.987179,0.986111,0.985867
31,0.059135,0.036774,0.990741,0.991453,0.990741,0.990725
32,0.009324,0.025970,0.995370,0.995726,0.995370,0.995362
33,0.012578,0.007362,1.000000,1.000000,1.000000,1.000000
34,0.050404,0.007755,1.000000,1.000000,1.000000,1.000000
35,0.071593,0.026398,0.995370,0.995726,0.995370,0.995362
36,0.030129,0.046173,0.990741,0.991453,0.990741,0.990725
37,0.024224,0.042877,0.986111,0.986823,0.986111,0.985875
38,0.005601,0.040436,0.986111,0.986823,0.986111,0.985875
39,0.015859,0.033783,0.986111,0.986823,0.986111,0.985875
40,0.026827,0.028122,0.990741,0.991453,0.990741,0.990505
41,0.033971,0.022491,0.990741,0.991453,0.990741,0.990505
42,0.005644,0.009415,1.000000,1.000000,1.000000,1.000000
43,0.005403,0.010376,0.995370,0.995726,0.995370,0.995362
44,0.030455,0.016769,0.990741,0.991453,0.990741,0.990505
45,0.007307,0.024078,0.990741,0.991453,0.990741,0.990505
46,0.003658,0.028534,0.990741,0.991453,0.990741,0.990505
47,0.008262,0.030609,0.990741,0.991453,0.990741,0.990505
48,0.010272,0.029083,0.990741,0.991453,0.990741,0.990505
49,0.037121,0.031235,0.990741,0.991453,0.990741,0.990505
50,0.013001,0.029572,0.990741,0.991453,0.990741,0.990505
51,0.072746,0.034760,0.990741,0.991453,0.990741,0.990505
52,0.001016,0.042297,0.990741,0.991453,0.990741,0.990505
53,0.003616,0.044250,0.990741,0.991453,0.990741,0.990505
54,0.024633,0.039185,0.986111,0.986823,0.986111,0.985875
55,0.002098,0.039062,0.990741,0.991453,0.990741,0.990725
56,0.028073,0.038849,0.990741,0.991453,0.990741,0.990725
57,0.016232,0.034149,0.990741,0.991453,0.990741,0.990505
58,0.007611,0.035309,0.990741,0.991453,0.990741,0.990505
59,0.042854,0.037292,0.990741,0.991453,0.990741,0.990505
60,0.023777,0.043915,0.986111,0.987790,0.986111,0.986038
61,0.006384,0.030762,0.990741,0.991453,0.990741,0.990505
62,0.026698,0.022217,0.990741,0.991453,0.990741,0.990505
63,0.043381,0.031143,0.990741,0.991453,0.990741,0.990505
64,0.009880,0.027908,0.990741,0.991453,0.990741,0.990505
65,0.118624,0.019241,0.990741,0.991453,0.990741,0.990505
66,0.008120,0.013130,0.995370,0.995726,0.995370,0.995362
67,0.013667,0.023376,0.990741,0.991453,0.990741,0.990505
68,0.005805,0.031647,0.990741,0.991453,0.990741,0.990505
69,0.011356,0.031769,0.990741,0.991453,0.990741,0.990725
70,0.008933,0.032013,0.995370,0.995726,0.995370,0.995362
70,0.008933,0.032013,0.995370,0.995726,0.995370,0.995362
