dataset,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_samples
madeira_completo,0.988426,0.989268,0.988426,0.988398,0.989268,0.988426,0.988398,864
madeira_completo_dureza,0.993056,0.993264,0.993056,0.993041,0.993264,0.993056,0.993041,864
madeira_tangencial,0.990741,0.991063,0.990741,0.990762,0.991063,0.990741,0.990762,864
madeira_tangencial_dureza,0.989583,0.989861,0.989583,0.989567,0.989861,0.989583,0.989567,864
madeira_transversal,0.987269,0.987604,0.987269,0.987238,0.987604,0.987269,0.987238,864
madeira_transversal_dureza,0.986111,0.986309,0.986111,0.986006,0.986309,0.986111,0.986006,864
