epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,451.002,0.03932,0.98148,1,0.0603,0.000232778,0.000232778,0.000232778
76,457.039,0.02945,0.98148,1,0.06659,0.000229775,0.000229775,0.000229775
77,463.06,0.13128,0.98148,1,0.06909,0.000226772,0.000226772,0.000226772
78,469.066,0.01485,0.98611,1,0.06512,0.000223769,0.000223769,0.000223769
79,475.081,0.14184,0.98611,1,0.05988,0.000220766,0.000220766,0.000220766
80,481.067,0.06372,0.98611,1,0.07318,0.000217763,0.000217763,0.000217763
81,487.106,0.25127,0.98148,1,0.07062,0.00021476,0.00021476,0.00021476
82,493.146,0.13738,0.97685,1,0.10791,0.000211757,0.000211757,0.000211757
83,499.2,0.1452,0.98148,1,0.1142,0.000208754,0.000208754,0.000208754
84,505.32,0.08862,0.98148,1,0.07031,0.000205751,0.000205751,0.000205751
85,511.425,0.20784,0.98611,1,0.06714,0.000202748,0.000202748,0.000202748
86,517.517,0.13163,0.98611,1,0.05023,0.000199745,0.000199745,0.000199745
87,523.509,0.24479,0.97685,1,0.05579,0.000196742,0.000196742,0.000196742
88,529.478,0.05727,0.98148,1,0.03665,0.000193739,0.000193739,0.000193739
89,535.443,0.16766,0.98611,1,0.0416,0.000190736,0.000190736,0.000190736
90,541.423,0.16396,0.98148,1,0.03232,0.000187733,0.000187733,0.000187733
91,547.543,0.04204,0.98148,1,0.03723,0.00018473,0.00018473,0.00018473
92,553.51,0.12521,0.99074,1,0.0219,0.000181727,0.000181727,0.000181727
93,559.553,0.04771,0.99537,1,0.01926,0.000178724,0.000178724,0.000178724
94,565.505,0.22543,0.99537,1,0.01765,0.000175721,0.000175721,0.000175721
95,571.617,0.04536,0.99537,1,0.02263,0.000172718,0.000172718,0.000172718
96,577.717,0.09766,0.99074,1,0.02942,0.000169715,0.000169715,0.000169715
97,583.74,0.12455,0.99074,1,0.04254,0.000166712,0.000166712,0.000166712
98,589.784,0.09153,0.98611,1,0.04602,0.000163709,0.000163709,0.000163709
99,595.828,0.12396,0.99074,1,0.02858,0.000160706,0.000160706,0.000160706
100,601.846,0.20382,0.99537,1,0.01382,0.000157703,0.000157703,0.000157703
101,607.846,0.1977,1,1,0.00781,0.0001547,0.0001547,0.0001547
102,613.961,0.09697,0.99537,1,0.00848,0.000151697,0.000151697,0.000151697
103,620.013,0.05116,0.99537,1,0.01024,0.000148694,0.000148694,0.000148694
104,626.049,0.1098,0.99537,1,0.01863,0.000145691,0.000145691,0.000145691
105,632.099,0.02391,0.99074,1,0.03448,0.000142688,0.000142688,0.000142688
106,638.2,0.13529,0.99074,1,0.04401,0.000139685,0.000139685,0.000139685
107,644.226,0.24247,0.98148,1,0.07794,0.000136682,0.000136682,0.000136682
108,650.215,0.14051,0.97685,1,0.09717,0.000133679,0.000133679,0.000133679
109,656.198,0.06731,0.98148,1,0.07556,0.000130676,0.000130676,0.000130676
110,662.183,0.13056,0.98611,1,0.04419,0.000127673,0.000127673,0.000127673
