dataset,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_samples
madeira_completo,0.994213,0.994376,0.994213,0.994199,0.994376,0.994213,0.994199,864
madeira_completo_dureza,0.997685,0.997732,0.997685,0.997685,0.997732,0.997685,0.997685,864
madeira_tangencial,0.996528,0.996599,0.996528,0.996515,0.996599,0.996528,0.996515,864
madeira_tangencial_dureza,0.994213,0.994307,0.994213,0.994212,0.994307,0.994213,0.994212,864
madeira_transversal,0.993056,0.993149,0.993056,0.993030,0.993149,0.993056,0.993030,864
madeira_transversal_dureza,0.994213,0.994283,0.994213,0.994200,0.994283,0.994213,0.994200,864
