epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,479.123,0.07971,0.98148,1,0.09894,0.000229775,0.000229775,0.000229775
77,485.432,0.27619,0.98148,1,0.06903,0.000226772,0.000226772,0.000226772
78,491.743,0.06788,0.98611,1,0.04797,0.000223769,0.000223769,0.000223769
79,498.155,0.1173,0.98611,1,0.03476,0.000220766,0.000220766,0.000220766
80,504.52,0.16231,0.99074,1,0.03021,0.000217763,0.000217763,0.000217763
81,510.829,0.34887,0.99537,1,0.01663,0.00021476,0.00021476,0.00021476
82,517.046,0.36611,0.99537,1,0.0101,0.000211757,0.000211757,0.000211757
83,523.337,0.06362,0.99537,1,0.01021,0.000208754,0.000208754,0.000208754
84,529.658,0.05113,0.99537,1,0.0271,0.000205751,0.000205751,0.000205751
85,535.963,0.09334,0.99074,1,0.0419,0.000202748,0.000202748,0.000202748
86,542.297,0.05273,0.97685,1,0.09424,0.000199745,0.000199745,0.000199745
87,548.585,0.19939,0.98611,1,0.07147,0.000196742,0.000196742,0.000196742
88,554.853,0.05667,0.98611,1,0.04852,0.000193739,0.000193739,0.000193739
89,561.087,0.16452,0.98148,1,0.07111,0.000190736,0.000190736,0.000190736
90,567.447,0.17657,0.98148,1,0.07904,0.000187733,0.000187733,0.000187733
91,573.804,0.11503,0.98611,1,0.10278,0.00018473,0.00018473,0.00018473
92,580.106,0.07878,0.99074,1,0.05826,0.000181727,0.000181727,0.000181727
93,586.442,0.08982,0.98611,1,0.04993,0.000178724,0.000178724,0.000178724
94,592.746,0.3979,0.99074,1,0.03299,0.000175721,0.000175721,0.000175721
95,599.042,0.23864,0.99074,1,0.0509,0.000172718,0.000172718,0.000172718
96,605.328,0.20795,0.99074,1,0.05481,0.000169715,0.000169715,0.000169715
97,611.62,0.08748,0.98148,1,0.05215,0.000166712,0.000166712,0.000166712
98,617.879,0.21843,0.99074,1,0.03809,0.000163709,0.000163709,0.000163709
99,624.146,0.06565,0.99537,1,0.01604,0.000160706,0.000160706,0.000160706
100,630.479,0.24608,0.99074,1,0.03333,0.000157703,0.000157703,0.000157703
101,636.878,0.31542,0.99074,1,0.01711,0.0001547,0.0001547,0.0001547
102,643.209,0.09718,1,1,0.00395,0.000151697,0.000151697,0.000151697
